iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,discriminator_loss,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
68,20.73832130432129,756.7664889944186,685.4826242640903,2993.736637913912,-14.077003962986236,58.5,0.6755532,1.4600009233996092,0.05,0.030298709869384766,0.8045518398284912,0.025072018,0.03351399,399.2782705856271,58.5,40000,6.398170232772827,0.3126365301353721,0.2605064329591776,1089.3165229847189,68.0
69,21.691606044769287,750.125968373521,744.0642983939983,2779.782724073494,-7.775188872452762,55.0,0.6745568,1.5404609789357928,0.05,0.025765180587768555,0.744896650314331,0.024833389,0.03235201,434.3630403644165,55.0,40000,4.393752098083496,0.29128088873713287,0.24280502923780456,1078.669786323359,64.0
70,22.818772792816162,746.564625938559,713.7880044631025,2792.4166818531676,-9.935728381990188,57.0,0.6749363,1.486974166110061,0.05,0.8656494617462158,28.72799277305603,0.025253106,0.033785235,465.5831989218308,57.0,40000,32.73872089385986,0.27728548719648577,0.23828223856932473,1228.2832217048403,84.0
71,20.337909936904907,854.9704204114616,794.1430746925221,2976.280704327662,-16.980182570565823,60.0,0.67418444,1.5146925972397618,0.05,0.020478010177612305,0.6415791511535645,0.025024895,0.03290527,504.5219210707939,60.0,40000,4.04527473449707,0.28916603060985224,0.23426035196537534,1074.9069711075842,72.0
72,22.716928720474243,951.5418574072246,789.66771012825,3372.580794665034,-4.96613335803485,66.0,0.6715864,1.519590593934108,0.05,0.021919965744018555,0.6453309059143066,0.025139019,0.03326662,549.223914704437,66.0,40000,3.9738035202026367,0.24083637878607378,0.2011262022328589,1108.4150163947493,76.0
73,19.380094051361084,929.4743989706927,754.1313457577276,2887.94273831159,-13.882268855982518,68.0,0.67231554,1.4837991721506127,0.05,0.02069258689880371,0.6501553058624268,0.024942694,0.033414975,587.2489631310625,68.0,40000,4.514340400695801,0.25468679066898875,0.22032463142770112,912.7326614533662,80.0
74,20.538537740707397,1063.1991219094714,888.2475900186829,3346.4141859974557,-9.055174580833153,68.0,0.67205626,1.5015875584283134,0.05,0.02184009552001953,0.6835691928863525,0.025319617,0.033313386,634.8439790089035,68.0,40000,11.15604305267334,0.24566138418020408,0.19465865573685648,1132.9259076967237,84.0
75,21.744765520095825,1136.4747594180446,888.0592120799445,3220.3993685958853,-13.584314372730756,71.5,0.670895,1.4620965120281435,0.05,0.020552873611450195,0.7096588611602783,0.025061525,0.033928964,685.0070570498176,71.5,40000,4.186523914337158,0.2272116054179389,0.20840114094739393,1486.8930291961606,84.0
76,22.644033908843994,1065.7941791590938,915.3901850692735,3095.650576619117,-4.987908909252572,66.0,0.6702744,1.4468172261868268,0.05,1.2783722877502441,21.341301202774048,0.025291743,0.034746036,723.0857692607452,66.0,40000,29.058216333389282,0.24901187793891685,0.20903932128786498,1313.6900890813465,76.0
77,20.455668449401855,1246.646489927167,933.6003968980824,3367.8665295766455,-11.068548500648545,73.0,0.6689404,1.4348319128028149,0.05,0.022006511688232422,0.9834702014923096,0.02530165,0.034653187,775.4418413273875,73.0,40000,46.565773487091064,0.1919343572294751,0.16631366731633804,1694.7608822410211,92.0
78,21.685710668563843,1454.1539435871628,881.3324129275917,3436.9978587124087,1.1183733538208007,81.5,0.66660404,1.5323647585984808,0.05,0.1005706787109375,13.95396089553833,0.024998605,0.03259849,843.3130515533651,81.5,40000,45.65155243873596,0.16572414967378885,0.13534380570990467,1898.0092950458516,92.0
79,19.526392221450806,1213.4819320576642,1034.330954498061,3783.6156374294824,-13.303852019117029,65.0,0.6688063,1.4782780094098946,0.05,0.02163386344909668,0.6858260631561279,0.02504224,0.03385707,880.329939603795,65.0,40000,4.208798170089722,0.2043204604088668,0.17316920039845765,2190.2375775705013,92.0
